2024-08-14 | 15:05:43.564 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 11848 | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2024-08-14 | 15:05:43.564 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 11848 | loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2024-08-14 | 15:05:43.564 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 11848 | loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2024-08-14 | 15:05:43.564 | DEBUG | passlib.registry:register_crypt_handler:296 | Thread 11848 | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2024-08-14 | 15:05:55.992 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 13548 | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2024-08-14 | 15:05:55.992 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 13548 | loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2024-08-14 | 15:05:55.992 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 13548 | loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2024-08-14 | 15:05:55.992 | DEBUG | passlib.registry:register_crypt_handler:296 | Thread 13548 | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2024-08-14 | 15:05:56.336 | DEBUG | aioredis:create_connection:110 | Thread 13548 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:05:58.373 | DEBUG | aioredis:_do_close:158 | Thread 13548 | Closed 0 connection(s)
2024-08-14 | 15:06:17.766 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 12072 | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2024-08-14 | 15:06:17.766 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 12072 | loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2024-08-14 | 15:06:17.766 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 12072 | loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2024-08-14 | 15:06:17.766 | DEBUG | passlib.registry:register_crypt_handler:296 | Thread 12072 | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2024-08-14 | 15:06:18.145 | DEBUG | aioredis:create_connection:110 | Thread 12072 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:06:20.188 | DEBUG | aioredis:create_connection:110 | Thread 12072 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:06:20.188 | DEBUG | aioredis:create_connection:110 | Thread 12072 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:06:20.188 | DEBUG | aioredis:_do_close:158 | Thread 12072 | Closed 1 connection(s)
2024-08-14 | 15:08:36.565 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 7272 | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2024-08-14 | 15:08:36.566 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 7272 | loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2024-08-14 | 15:08:36.566 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 7272 | loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2024-08-14 | 15:08:36.568 | DEBUG | passlib.registry:register_crypt_handler:296 | Thread 7272 | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2024-08-14 | 15:08:36.964 | DEBUG | aioredis:create_connection:110 | Thread 7272 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:39.016 | DEBUG | aioredis:create_connection:110 | Thread 7272 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:39.016 | DEBUG | aioredis:create_connection:110 | Thread 7272 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:39.017 | DEBUG | aioredis:_do_close:158 | Thread 7272 | Closed 1 connection(s)
2024-08-14 | 15:08:41.070 | INFO | root:get_uzcard_id:101 | Thread 7272 | Redis успешно закрыт
2024-08-14 | 15:08:41.071 | INFO | root:get_uzcard_id:101 | Thread 7272 | Redis успешно закрыт
2024-08-14 | 15:08:41.071 | DEBUG | aioredis:_do_close:158 | Thread 7272 | Closed 1 connection(s)
2024-08-14 | 15:08:41.071 | DEBUG | aioredis:_do_close:158 | Thread 7272 | Closed 1 connection(s)
2024-08-14 | 15:08:41.071 | DEBUG | httpx:load_ssl_context:80 | Thread 7272 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-14 | 15:08:41.073 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 7272 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_bicycle\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-14 | 15:08:41.238 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-14 | 15:08:41.238 | DEBUG | httpx:load_ssl_context:80 | Thread 7272 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-14 | 15:08:41.239 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 7272 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_bicycle\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-14 | 15:08:41.403 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-14 | 15:08:41.454 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001E1E667B150>
2024-08-14 | 15:08:41.454 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001E1E64D9B50> server_hostname='api.upay.uz' timeout=5.0
2024-08-14 | 15:08:41.455 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001E1E66B9F50>
2024-08-14 | 15:08:41.455 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001E1E64D8DD0> server_hostname='api.upay.uz' timeout=5.0
2024-08-14 | 15:08:41.483 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001E1E4FE5090>
2024-08-14 | 15:08:41.483 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | send_request_headers.started request=<Request [b'POST']>
2024-08-14 | 15:08:41.483 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | send_request_headers.complete
2024-08-14 | 15:08:41.483 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | send_request_body.started request=<Request [b'POST']>
2024-08-14 | 15:08:41.485 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | send_request_body.complete
2024-08-14 | 15:08:41.485 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | receive_response_headers.started request=<Request [b'POST']>
2024-08-14 | 15:08:41.486 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000001E1E6678110>
2024-08-14 | 15:08:41.486 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | send_request_headers.started request=<Request [b'POST']>
2024-08-14 | 15:08:41.487 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | send_request_headers.complete
2024-08-14 | 15:08:41.487 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | send_request_body.started request=<Request [b'POST']>
2024-08-14 | 15:08:41.487 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | send_request_body.complete
2024-08-14 | 15:08:41.487 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | receive_response_headers.started request=<Request [b'POST']>
2024-08-14 | 15:08:41.613 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Wed, 14 Aug 2024 10:08:38 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'90.156.160.97'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-14 | 15:08:41.614 | INFO | httpx:_send_single_request:1773 | Thread 7272 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-14 | 15:08:41.614 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | receive_response_body.started request=<Request [b'POST']>
2024-08-14 | 15:08:41.614 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | receive_response_body.complete
2024-08-14 | 15:08:41.614 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | response_closed.started
2024-08-14 | 15:08:41.615 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | response_closed.complete
2024-08-14 | 15:08:41.615 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | close.started
2024-08-14 | 15:08:41.615 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | close.complete
2024-08-14 | 15:08:41.615 | SUCCESS | root:success:13 | Thread 7272 | Данные успешно получены
2024-08-14 | 15:08:41.616 | DEBUG | aioredis:create_connection:110 | Thread 7272 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:41.620 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Wed, 14 Aug 2024 10:08:38 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'90.156.160.97'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-14 | 15:08:41.620 | INFO | httpx:_send_single_request:1773 | Thread 7272 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-14 | 15:08:41.620 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | receive_response_body.started request=<Request [b'POST']>
2024-08-14 | 15:08:41.621 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | receive_response_body.complete
2024-08-14 | 15:08:41.621 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | response_closed.started
2024-08-14 | 15:08:41.621 | DEBUG | httpcore.http11:atrace:85 | Thread 7272 | response_closed.complete
2024-08-14 | 15:08:41.621 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | close.started
2024-08-14 | 15:08:41.621 | DEBUG | httpcore.connection:atrace:85 | Thread 7272 | close.complete
2024-08-14 | 15:08:41.621 | SUCCESS | root:success:13 | Thread 7272 | Данные успешно получены
2024-08-14 | 15:08:41.622 | DEBUG | aioredis:create_connection:110 | Thread 7272 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:43.663 | INFO | root:save_balance:183 | Thread 7272 | Redis успешно закрыт
